INDEX,YEAR,HR,DT,MN,DPT,WBT,DBT
43003,2010,0,1,1,14.8,17.4,21.2
43003,2010,0,2,1,17.8,19.4,22
43003,2010,0,3,1,20,21.4,24
43003,2010,0,4,1,16.1,18.6,22.4
43003,2010,0,5,1,17.8,18.4,19.4
43003,2010,0,6,1,16.7,18.4,21
43003,2010,0,7,1,14,18,23.8
43003,2010,0,8,1,15.7,18.6,23
43003,2010,0,9,1,15.4,16.6,18.4
43003,2010,0,10,1,15.4,16.6,18.4
43003,2010,0,11,1,17.2,18.6,20.8
43003,2010,0,12,1,22,23,25
43003,2010,0,13,1,17,19,22.2
43003,2010,0,14,1,10.2,13,16.2
43003,2010,0,15,1,15.1,17.4,20.8
43003,2010,0,16,1,17.4,20.2,24.8
43003,2010,0,17,1,17.2,18,19.2
43003,2010,0,18,1,14.3,15.6,17.4
43003,2010,0,19,1,16.1,17.2,18.8
43003,2010,0,20,1,14.3,16.6,19.8
43003,2010,0,21,1,13.4,17,22
43003,2010,0,22,1,14.6,16.6,19.4
43003,2010,0,23,1,14.6,15.8,17.4
43003,2010,0,24,1,18.4,19.6,21.6
43003,2010,0,25,1,15,16,17.4
43003,2010,0,26,1,10.1,15,20.8
43003,2010,0,27,1,13,16,20
43003,2010,0,28,1,13.8,16.2,19.4
43003,2010,0,29,1,13.4,15.4,18
43003,2010,0,30,1,14.1,16.4,19.6
43003,2010,0,31,1,15.6,17,19
43003,2010,12,1,1,13.4,17.4,23
43003,2010,12,2,1,16.6,19.4,23.8
43003,2010,12,3,1,20.2,21.8,24.8
43003,2010,12,4,1,17.2,19.2,22.4
43003,2010,12,5,1,17.6,18.6,20.2
43003,2010,12,6,1,15.7,18.8,23.6
43003,2010,12,7,1,13.8,18,24
43003,2010,12,8,1,14,18,23.8
43003,2010,12,9,1,13.7,17.4,22.6
43003,2010,12,10,1,13.8,17.4,22.4
43003,2010,12,11,1,17.2,19.2,22.4
43003,2010,12,12,1,21.5,22.6,24.8
43003,2010,12,13,1,14.1,17,21
43003,2010,12,14,1,10.8,13.2,16
43003,2010,12,15,1,12.5,17.4,24
43003,2010,12,16,1,17.4,20.4,25.4
43003,2010,12,17,1,16.9,18.4,20.8
43003,2010,12,18,1,18.5,20,22.6
43003,2010,12,19,1,16.7,17.6,19
43003,2010,12,20,1,13.8,17.4,22.4
43003,2010,12,21,1,12.5,17.4,24
43003,2010,12,22,1,13.7,17,21.6
43003,2010,12,23,1,14.1,16.6,20
43003,2010,12,24,1,16.6,18,20.2
43003,2010,12,25,1,13.9,16,18.8
43003,2010,12,26,1,9.5,16,23.8
43003,2010,12,27,1,11.5,17,24.2
43003,2010,12,28,1,13.8,17,21.4
43003,2010,12,29,1,14.2,16.2,19
43003,2010,12,30,1,14,17.4,22
43003,2010,12,31,1,15.9,17.6,20.2
43003,2010,24,1,1,14.6,20.4,29.4
43003,2010,24,2,1,15.4,21.4,31.2
43003,2010,24,3,1,19.5,23,29.6
43003,2010,24,4,1,17.1,21,27.6
43003,2010,24,5,1,16.8,21,28
43003,2010,24,6,1,16.4,21.2,29.2
43003,2010,24,7,1,14.2,20.4,30
43003,2010,24,8,1,11.9,19.4,30
43003,2010,24,9,1,12.7,19.4,29
43003,2010,24,10,1,13.8,19.8,28.8
43003,2010,24,11,1,15.5,21.4,31
43003,2010,24,12,1,19.4,22.8,29.2
43003,2010,24,13,1,10.4,17.8,27.4
43003,2010,24,14,1,9.3,17.2,27
43003,2010,24,15,1,15.3,21,30.2
43003,2010,24,16,1,18.7,23,31
43003,2010,24,17,1,14.8,21.2,31.4
43003,2010,24,18,1,14.5,20,28.4
43003,2010,24,19,1,15.9,21,29.4
43003,2010,24,20,1,12.9,19.4,29.4
43003,2010,24,21,1,10.4,19.4,31.6
43003,2010,24,22,1,10,18.8,30.4
43003,2010,24,23,1,12.1,19.4,29.8
43003,2010,24,24,1,14.9,20.4,29
43003,2010,24,25,1,11.3,19,29.6
43003,2010,24,26,1,12.1,19.8,30.8
43003,2010,24,27,1,12.4,19.4,29.4
43003,2010,24,28,1,10,18.8,30.4
43003,2010,24,29,1,11.5,19.4,30.4
43003,2010,24,30,1,11,19.4,31
43003,2010,24,31,1,13,20.4,31.4
43003,2010,36,1,1,17.7,23,32.6
43003,2010,36,2,1,17.6,23.4,34.4
43003,2010,36,3,1,21.3,24.6,31.4
43003,2010,36,4,1,19,22.4,28.6
43003,2010,36,5,1,19.8,23.4,30.4
43003,2010,36,6,1,16.6,22.4,32.4
43003,2010,36,7,1,11.5,20.4,33.2
43003,2010,36,8,1,15.5,21.6,31.6
43003,2010,36,9,1,13.2,20.4,31.2
43003,2010,36,10,1,14.4,21.4,32.6
43003,2010,36,11,1,20.3,23.8,30.8
43003,2010,36,12,1,21,23.8,29.4
43003,2010,36,13,1,10.4,18.2,28.4
43003,2010,36,14,1,14.6,20.4,29.4
43003,2010,36,15,1,18.3,23,31.6
43003,2010,36,16,1,12.8,21,33.4
43003,2010,36,17,1,11,20,32.6
43003,2010,36,18,1,18.2,22.4,30
43003,2010,36,19,1,14,21.4,33
43003,2010,36,20,1,12.5,20.8,33.2
43003,2010,36,21,1,14.5,21.4,32.4
43003,2010,36,22,1,16.2,22,31.8
43003,2010,36,23,1,14.8,21.2,31.4
43003,2010,36,24,1,16.6,21.8,30.6
43003,2010,36,25,1,16.9,22.2,31.4
43003,2010,36,26,1,12.8,21.2,34
43003,2010,36,27,1,15.9,21,29.4
43003,2010,36,28,1,9.4,19.4,32.6
43003,2010,36,29,1,14.7,21.2,31.6
43003,2010,36,30,1,11.9,21,34.4
43003,2010,36,31,1,18.2,22.6,30.6
43003,2010,48,1,1,16.9,21.4,29
43003,2010,48,2,1,19.6,23.2,30
43003,2010,48,3,1,19.6,22,26.4
43003,2010,48,4,1,17.7,21,26.6
43003,2010,48,5,1,18.7,22,28
43003,2010,48,6,1,19.9,23,29
43003,2010,48,7,1,18.8,22.4,29
43003,2010,48,8,1,17.7,21.4,27.8
43003,2010,48,9,1,13.3,20,30
43003,2010,48,10,1,17.6,22,29.8
43003,2010,48,11,1,19.4,23,29.8
43003,2010,48,12,1,20.2,22.6,27.2
43003,2010,48,13,1,10.4,17.4,26.4
43003,2010,48,14,1,15.7,20.4,28
43003,2010,48,15,1,17.7,21.8,29
43003,2010,48,16,1,18.8,23.4,32
43003,2010,48,17,1,12.4,20,31
43003,2010,48,18,1,18.2,21.6,27.6
43003,2010,48,19,1,14.3,20.6,30.4
43003,2010,48,20,1,13.2,20.2,30.6
43003,2010,48,21,1,18.4,22.2,29
43003,2010,48,22,1,16.1,21.2,29.6
43003,2010,48,23,1,11.8,19,29
43003,2010,48,24,1,17.1,21.2,28.2
43003,2010,48,25,1,14.2,20,28.8
43003,2010,48,26,1,12.9,20,30.4
43003,2010,48,27,1,14.3,20.4,29.8
43003,2010,48,28,1,13.6,20,29.6
43003,2010,48,29,1,14.6,20.4,29.4
43003,2010,48,30,1,15.5,20.8,29.4
43003,2010,48,31,1,14.8,21,30.8
43003,2010,60,1,1,17,20.6,26.6
43003,2010,60,2,1,20.4,22.8,27.4
43003,2010,60,3,1,18.9,21.4,25.8
43003,2010,60,4,1,19.4,21.2,24.4
43003,2010,60,5,1,20.4,22,25
43003,2010,60,6,1,18.1,21,26
43003,2010,60,7,1,18.4,21,25.6
43003,2010,60,8,1,15.5,19.4,25.4
43003,2010,60,9,1,16.3,20,26
43003,2010,60,10,1,17,20.6,26.6
43003,2010,60,11,1,21.9,23.4,26.4
43003,2010,60,12,1,18.7,21.2,25.6
43003,2010,60,13,1,8.8,15.4,23
43003,2010,60,14,1,15,19,25
43003,2010,60,15,1,18,21.2,26.8
43003,2010,60,16,1,18.3,21.6,27.4
43003,2010,60,17,1,12.6,18.6,27
43003,2010,60,18,1,15.8,19.6,25.6
43003,2010,60,19,1,16.1,20.2,26.8
43003,2010,60,20,1,14.5,19.6,27.4
43003,2010,60,21,1,13.8,19,26.6
43003,2010,60,22,1,18.9,21.4,25.8
43003,2010,60,23,1,20.2,22,25.4
43003,2010,60,24,1,16.7,20,25.4
43003,2010,60,25,1,19.9,21.6,24.8
43003,2010,60,26,1,15.1,19.6,26.6
43003,2010,60,27,1,14.3,19.4,27
43003,2010,60,28,1,10.7,17.6,26.6
43003,2010,60,29,1,15.2,19.6,26.4
43003,2010,60,30,1,14.6,19.6,27.2
43003,2010,60,31,1,15.9,20,26.6
43003,2010,72,1,1,17.9,20,23.6
43003,2010,72,2,1,21.1,22.4,25
43003,2010,72,3,1,18.4,20.6,24.4
43003,2010,72,4,1,19.7,20.8,22.8
43003,2010,72,5,1,19.3,20.2,21.8
43003,2010,72,6,1,18.2,20,23
43003,2010,72,7,1,17.9,20,23.6
43003,2010,72,8,1,16.4,18.6,22
43003,2010,72,9,1,18.1,19.8,22.6
43003,2010,72,10,1,18.1,20,23.2
43003,2010,72,11,1,20.4,21.8,24.4
43003,2010,72,12,1,19.5,21.2,24.2
43003,2010,72,13,1,11.2,15.2,20.6
43003,2010,72,14,1,16.2,18.2,21.2
43003,2010,72,15,1,19.1,21,24.4
43003,2010,72,16,1,18.1,20,23.2
43003,2010,72,17,1,15.3,18,22
43003,2010,72,18,1,17.5,19.2,22
43003,2010,72,19,1,14.9,18.4,23.6
43003,2010,72,20,1,16.5,19.4,24
43003,2010,72,21,1,16,18.4,22
43003,2010,72,22,1,17.5,19.4,22.6
43003,2010,72,23,1,19.2,20.6,23
43003,2010,72,24,1,16.2,18.2,21.2
43003,2010,72,26,1,14.7,18,22.8
43003,2010,72,27,1,13.5,17.4,22.8
43003,2010,72,28,1,12,16,21.2
43003,2010,72,29,1,16.5,19,23
43003,2010,72,30,1,16.5,19,23
43003,2010,72,31,1,15.4,18.2,22.4
43003,2010,84,1,1,16.4,18,20.4
43003,2010,84,2,1,17.1,19,22
43003,2010,84,3,1,20,21.4,24
43003,2010,84,4,1,18,19.4,21.8
43003,2010,84,5,1,18,19,20.6
43003,2010,84,6,1,18.8,19.4,20.4
43003,2010,84,7,1,15.2,18.8,24.2
43003,2010,84,8,1,17.5,19.4,22.6
43003,2010,84,9,1,16.4,17.8,20
43003,2010,84,10,1,16.1,17.6,19.8
43003,2010,84,11,1,18,19.4,21.8
43003,2010,84,12,1,21.8,22.8,24.8
43003,2010,84,13,1,18.4,20,22.8
43003,2010,84,14,1,11.5,14.6,18.4
43003,2010,84,15,1,16,17.6,20
43003,2010,84,16,1,18.2,20.2,23.6
43003,2010,84,17,1,17.8,19,21
43003,2010,84,18,1,14.6,16.2,18.4
43003,2010,84,19,1,16.6,17.8,19.6
43003,2010,84,20,1,14.6,17,20.4
43003,2010,84,21,1,15.4,17.6,20.8
