,DATE,DPT,WBT,DBT,Normal_Temp,SLP,MSLP,RH,DD,FFF,RF,YEAR,MN,DT,Heatwave
0,2010-01-01,16.0875,19.775,25.725,30.4,1009.5,1011.1625,57.0,12.5,4.25,0.0,2010,1,1,0
1,2010-01-02,18.2,21.375,26.975,30.4,1011.0,1012.6875,61.125,6.75,3.25,0.0,2010,1,2,0
2,2010-01-03,19.7375,22.025,26.3,30.4,1012.35,1014.05,67.875,21.875,5.25,0.0,2010,1,3,0
3,2010-01-04,18.025,20.45,24.575,30.4,1011.575,1013.25,67.875,25.25,6.25,0.0,2010,1,4,0
4,2010-01-05,18.55,20.575,24.175,30.4,1009.2375,1010.9125,72.875,11.875,3.75,0.0,2010,1,5,0
5,2010-01-06,17.55,20.525,25.575,30.4,1008.4625,1010.1375,63.625,5.25,2.25,0.0,2010,1,6,0
6,2010-01-07,15.475,19.875,26.675,30.4,1009.4625,1011.1375,52.125,16.875,7.5,0.0,2010,1,7,0
7,2010-01-08,15.525,19.55,25.775,30.4,1010.35,1012.15,55.125,14.0,4.25,0.0,2010,1,8,0
8,2010-01-09,14.8875,18.925,24.975,30.4,1010.325,1012.0,57.0,10.5,4.5,0.0,2010,1,9,0
9,2010-01-10,15.775,19.425,25.2,30.4,1010.2625,1011.9375,58.625,1.875,2.5,0.0,2010,1,10,0
10,2010-01-11,18.7375,21.325,25.925,30.4,1010.55,1012.225,66.5,13.0,3.25,0.0,2010,1,11,0
11,2010-01-12,20.5125,22.5,26.275,30.4,1012.4875,1014.1875,71.375,22.25,5.25,0.0,2010,1,12,0
12,2010-01-13,12.5875,17.5,23.975,30.4,1014.5,1016.2,51.625,15.25,5.0,0.0,2010,1,13,0
13,2010-01-14,12.9125,17.0,22.65,30.4,1014.5375,1016.2125,56.25,17.0,5.25,0.0,2010,1,14,0
14,2010-01-15,16.5,20.05,25.85,30.4,1014.6875,1016.375,57.875,11.875,3.25,0.0,2010,1,15,0
15,2010-01-16,17.4625,21.225,27.6,30.4,1015.675,1017.3375,56.375,15.625,6.5,0.0,2010,1,16,0
16,2010-01-17,14.75,19.15,25.625,30.4,1016.05,1017.725,56.375,13.625,6.75,0.0,2010,1,17,0
17,2010-01-18,16.45,19.325,24.0,30.4,1014.2625,1016.4375,64.75,10.125,5.5,0.0,2010,1,18,0
18,2010-01-19,15.575,19.275,25.075,30.4,1012.4625,1014.3625,59.75,10.375,3.75,0.0,2010,1,19,0
19,2010-01-20,14.0375,18.8,25.9,30.4,1012.975,1014.625,50.625,12.5,3.625,0.0,2010,1,20,0
20,2010-01-21,14.3,19.05,26.05,30.4,1012.3,1013.95,50.75,14.25,5.25,0.0,2010,1,21,0
21,2010-01-22,15.325,19.225,25.15,30.4,1012.35,1014.0125,57.625,12.875,3.75,0.0,2010,1,22,0
22,2010-01-23,15.3875,19.025,24.45,30.4,1012.1375,1013.8125,61.375,10.875,3.0,0.0,2010,1,23,0
23,2010-01-24,16.8,19.75,24.55,30.4,1011.125,1012.8,64.5,11.5,3.25,0.0,2010,1,24,0
24,2010-01-25,15.35714286,18.85714286,24.2,30.4,1011.1,1012.785714,62.0,14.57142857,4.285714286,0.0,2010,1,25,0
25,2010-01-26,12.725,18.2,25.9,30.4,1012.0625,1013.75,46.625,14.375,5.0,0.0,2010,1,26,0
26,2010-01-27,13.725,18.45,25.325,30.4,1012.2375,1013.925,50.125,15.0,5.25,0.0,2010,1,27,0
27,2010-01-28,12.125,17.725,25.275,30.4,1012.45,1014.1375,47.75,12.625,3.5,0.0,2010,1,28,0
28,2010-01-29,14.025,18.275,24.55,30.4,1012.8125,1014.525,57.5,12.625,4.25,0.0,2010,1,29,0
29,2010-01-30,14.15,18.875,25.825,30.4,1012.4375,1014.125,52.125,5.5,2.25,0.0,2010,1,30,0
30,2010-01-31,15.65,19.35,25.175,30.4,1012.1875,1013.875,58.75,12.5,2.75,0.0,2010,1,31,0
31,2010-02-01,18.2,20.725,25.175,31.1,1011.3125,1012.9875,67.0,8.25,4.5,0.0,2010,2,1,0
